Date,Cloud Coverage,Average Temperature,Wind Speed,Wind Direction,Rainfall
7/6/2013,10,25.3,5.83,90,0
8/6/2013,2,25.6,5.9,90,0
9/6/2013,1,24.7,4.86,45,0
10/6/2013,9,23.1,5.62,315,0
11/6/2013,2,21.7,6.41,315,0
12/6/2013,9,23.4,5.83,45,0
13/06/2013,6,22.5,4.72,315,0
14/06/2013,5,21.9,6.62,315,0
15/06/2013,10,22.2,5.69,0,0
16/06/2013,8,21.4,4.9,90,0
17/06/2013,2,22.5,6.05,45,0
18/06/2013,1,21.3,5.36,0,0
19/06/2013,10,21.4,5.22,315,0
20/06/2013,5,18.8,4.75,315,0
21/06/2013,7,17.8,3.6,315,0.6
22/06/2013,7,17.8,4.36,0,0.3
23/06/2013,6,17.1,3.64,315,0
24/06/2013,5,17.9,4.54,0,0
25/06/2013,3,20.4,9.65,225,0
26/06/2013,9,18.8,4.28,0,2
27/06/2013,4,17.1,5.11,180,0
28/06/2013,10,17.4,14.18,225,3.1
29/06/2013,6,18.4,14.54,225,7
30/06/2013,1,18.9,12.71,180,0
1/7/2013,5,19.3,5.76,315,0
2/7/2013,2,18.3,4.18,0,0
3/7/2013,9,19.9,11.92,225,0
4/7/2013,3,18.8,13.54,225,5
5/7/2013,5,17,4.86,0,0
6/7/2013,10,17.8,4.61,0,0
7/7/2013,2,19.1,4.72,315,0.8
8/7/2013,8,17.5,6.19,315,0
9/7/2013,9,17,9.29,315,8.6
10/7/2013,3,18.3,7.38,315,0
11/7/2013,7,18.4,6.62,315,0
12/7/2013,3,20.8,4.54,315,0
13/07/2013,10,20.8,4.82,315,0
14/07/2013,7,19.2,7.31,0,0
15/07/2013,6,20.6,11.34,45,0
16/07/2013,7,21.2,5.98,0,0
17/07/2013,8,19.2,6.3,315,0
18/07/2013,9,18.8,5.22,315,0
19/07/2013,8,18.7,3.96,0,0
20/07/2013,4,20,4.9,0,0
21/07/2013,7,19.3,6.98,0,0
22/07/2013,3,20.7,4.03,0,0
23/07/2013,4,20.1,6.7,315,0
24/07/2013,9,19.2,5.98,315,0
25/07/2013,10,19.1,4.9,315,0.9
26/07/2013,6,16.8,6.19,0,0
27/07/2013,10,15.6,4.93,0,0
28/07/2013,5,19.1,9.83,45,0
29/07/2013,6,18.8,9.65,45,0
30/07/2013,9,20.1,11.56,45,0
31/07/2013,9,19,8.64,45,0
1/8/2013,1,18.5,5.58,0,0
2/8/2013,1,18.2,6.59,45,0
3/8/2013,10,20.1,5.65,45,0
4/8/2013,8,21.7,3.67,315,0
5/8/2013,8,20.5,3.35,45,0
6/8/2013,7,18.5,3.85,315,0
7/8/2013,9,17.9,5.18,315,3.5
8/8/2013,7,16.5,5.04,0,0
9/8/2013,9,14.8,5.54,0,0
10/8/2013,1,12.9,4.54,315,0
11/8/2013,4,15.6,4.72,315,0
12/8/2013,4,18.3,9.36,45,0
13/08/2013,2,17.1,10.37,45,0
14/08/2013,4,16.6,4.46,0,0
15/08/2013,10,17.8,4.82,315,0
16/08/2013,8,17.2,3.31,315,2.1
17/08/2013,8,17.2,6.23,315,0
18/08/2013,7,15.2,3.6,0,0
19/08/2013,9,15.9,3.06,315,0
20/08/2013,1,17.8,2.34,315,2.8
21/08/2013,4,19,5.26,315,0
22/08/2013,8,19.3,5,0,0
23/08/2013,3,20,3.13,0,0
24/08/2013,5,21.8,3.24,315,0
25/08/2013,4,20.9,4.21,0,0
26/08/2013,5,19.2,5.44,225,0.7
27/08/2013,5,18.9,7.27,225,1.2
28/08/2013,1,18.6,6.05,180,0
29/08/2013,3,19,12.89,180,13.8
30/08/2013,10,17.8,9.97,180,12.9
31/08/2013,2,18.6,10.73,180,0
1/9/2013,1,20.5,14.62,180,2.3
2/9/2013,6,20.1,13,180,0.9
3/9/2013,3,19.1,9.65,180,10.7
4/9/2013,5,17.9,14.22,180,8.1
5/9/2013,8,16.3,4.72,180,4.7
6/9/2013,3,16.1,2.99,315,0
7/9/2013,7,15.6,2.48,315,0
8/9/2013,3,15.6,2.2,315,0
9/9/2013,9,14.6,2.7,315,0
10/9/2013,10,14.1,3.53,45,0
11/9/2013,8,13.5,4.93,45,0
12/9/2013,8,13.5,8.21,45,0
13/09/2013,1,11.1,2.16,315,0
14/09/2013,9,15,7.02,180,3.8
15/09/2013,9,16.5,7.63,180,2.6
16/09/2013,9,18.8,11.81,225,13.8
17/09/2013,2,17.1,8.32,180,8.1
18/09/2013,4,15.8,5.04,225,0
19/09/2013,4,17.7,10.58,180,13.7
20/09/2013,6,16.5,10.73,180,12.6
21/09/2013,6,17,12.38,180,0
22/09/2013,6,17.5,17.35,180,37.9
23/09/2013,6,16.8,17.03,180,0
24/09/2013,6,16.9,10.44,180,0
25/09/2013,2,17.2,13.57,180,0
26/09/2013,8,15.8,8.17,180,0
27/09/2013,4,15.5,13.1,180,0
28/09/2013,9,17.3,20.23,225,0
29/09/2013,3,13.7,11.48,270,16.3
30/09/2013,10,10.8,2.48,315,2.9
1/10/2013,4,10,1.3,180,0
2/10/2013,8,13.7,6.23,180,0
3/10/2013,2,16.8,12.74,180,12.8
4/10/2013,8,15.5,4.68,270,1.2
5/10/2013,9,11.7,7.7,225,3.5
6/10/2013,1,15.6,15.12,270,16.3
7/10/2013,2,16.7,5.76,225,0
8/10/2013,1,16.5,9.14,225,0
9/10/2013,7,15.9,12.92,180,0
10/10/2013,1,10.9,6.77,270,0
11/10/2013,5,12.8,11.7,270,0.7
12/10/2013,3,13.6,2.66,315,1.4
13/10/2013,2,13.9,0.86,-1,0
14/10/2013,7,14.1,1.44,45,0
15/10/2013,9,13.2,4.5,45,0
16/10/2013,8,12.3,7.16,45,0
17/10/2013,7,10.2,6.05,45,0
18/10/2013,4,9.9,7.67,45,2.1
19/10/2013,5,8.9,3.13,0,0
20/10/2013,6,9.9,1.55,45,1.9
21/10/2013,3,9.6,7.09,45,7.1
22/10/2013,9,6.4,1.4,-1,0.3
23/10/2013,10,9.1,3.31,270,8.2
24/10/2013,4,7.2,2.84,45,0
25/10/2013,6,5,3.92,45,0
26/10/2013,9,6.1,4.46,45,0
27/10/2013,9,8.9,8.03,45,0
28/10/2013,1,9.4,12.38,45,0
29/10/2013,10,8.9,12.06,45,0
30/10/2013,5,4.9,3.17,90,0
31/10/2013,8,4.8,2.7,0,0
1/11/2013,6,7.9,3.92,45,0
2/11/2013,3,8,7.52,45,0
3/11/2013,10,5.8,2.16,270,0
4/11/2013,5,4.5,2.02,225,0
5/11/2013,10,4.1,0.79,-1,0
6/11/2013,6,4.6,1.08,315,0
7/11/2013,6,4.5,1.73,135,0
8/11/2013,7,4.3,0.76,-1,0
9/11/2013,8,4,0.54,-1,0
10/11/2013,5,3.8,1.76,225,0
11/11/2013,5,6.7,3.13,180,0
12/11/2013,10,12.5,11.48,180,0
13/11/2013,6,15.3,11.63,180,0
14/11/2013,7,11.3,6.73,180,5.6
15/11/2013,4,8.3,4.43,225,0
16/11/2013,1,10.4,7.92,180,0
17/11/2013,5,12.9,14.15,180,1.6
18/11/2013,5,9.7,3.24,315,7.6
19/11/2013,1,10.8,14.9,180,12.1
20/11/2013,1,8.2,7.27,270,6.6
21/11/2013,7,5.8,4.57,180,0
22/11/2013,5,10,13.93,180,0
23/11/2013,10,11.5,14.62,225,0.8
24/11/2013,3,12.4,24.34,180,4.5
25/11/2013,3,11.6,26.14,225,47.3
26/11/2013,10,6.9,11.88,225,15.9
27/11/2013,7,9.3,10.58,225,2
28/11/2013,4,12.9,22.18,225,12.9
29/11/2013,9,7.1,12.35,225,3.6
30/11/2013,7,7.8,11.09,180,0.3
1/12/2013,8,11.3,20.45,180,0
2/12/2013,10,10.8,13.43,225,5.4
3/12/2013,7,12.2,21.24,225,10.7
4/12/2013,6,13.1,12.96,180,2.7
5/12/2013,1,12.2,14.44,180,9.7
6/12/2013,7,8.8,19.66,225,12
7/12/2013,9,13.2,25.31,225,6.6
8/12/2013,5,13,16.88,225,16.3
9/12/2013,8,11.8,11.23,180,2.7
10/12/2013,7,13.5,9.61,180,21
11/12/2013,3,9.7,2.09,315,14.2
12/12/2013,6,9,1.44,315,0
13/12/2013,10,7.3,2.77,180,0
14/12/2013,10,10.5,12.85,180,3.1
15/12/2013,8,7.9,10.22,225,6.3
16/12/2013,7,11.9,9.97,270,2.9
17/12/2013,5,11.3,12.64,180,13.5
18/12/2013,3,8.1,12.02,180,10.3
19/12/2013,10,8.9,11.99,180,1
20/12/2013,8,7.3,7.78,225,16.2
21/12/2013,6,6.1,5.62,225,17.9
22/12/2013,5,7.6,5.98,225,2
23/12/2013,2,10,9.29,180,2.4
24/12/2013,3,8.6,4.9,315,5.5
25/12/2013,6,9,3.02,315,2.2
26/12/2013,2,10.2,4.1,180,0
27/12/2013,6,12.2,4.25,270,0
28/12/2013,2,12.2,10.8,225,0
29/12/2013,1,7.6,13.18,270,16.1
30/12/2013,4,8,18.9,225,10.6
31/12/2013,4,6.6,6.37,315,18
1/1/2014,7,7.6,6.77,270,10.1
2/1/2014,9,11.3,12.28,225,11.6
3/1/2014,2,6.9,14,270,16.7
4/1/2014,2,7.7,15.19,180,1
5/1/2014,6,7.2,18.58,225,17.5
6/1/2014,6,8.1,20.81,180,38.8
7/1/2014,7,9.4,20.92,225,3
8/1/2014,5,11.9,31.36,180,23.1
9/1/2014,7,9.2,19.01,180,14.7
10/1/2014,6,8.6,19.94,270,13.8
11/1/2014,5,7.4,15.73,180,18.2
12/1/2014,5,7.3,14.65,315,7.7
13/01/2014,6,8.8,12.31,180,10.3
14/01/2014,2,10.3,15.84,225,2.2
15/01/2014,9,12.7,21.02,225,12.7
16/01/2014,3,11.4,29.3,180,13.1
17/01/2014,8,6.6,9.4,225,3.9
18/01/2014,10,6.8,13.61,180,0
19/01/2014,8,8.7,13.57,180,5.1
20/01/2014,6,8.7,4.72,180,0.4
21/01/2014,5,10.7,10.55,180,0
22/01/2014,3,10.6,13.46,225,6.8
23/01/2014,9,7.2,11.88,225,2.5
24/01/2014,4,10.6,11.12,225,3.5
25/01/2014,6,12,14.54,180,0
26/01/2014,6,9.9,12.74,225,0.5
27/01/2014,9,9.1,16.99,270,7.7
28/01/2014,4,9.1,11.59,225,3.6
29/01/2014,1,12,11.63,225,1.3
30/01/2014,9,10.5,15.55,270,1.4
31/01/2014,6,11.5,13.28,270,21.7
1/2/2014,1,11.3,11.12,270,6.4
2/2/2014,6,9,20.09,270,10.5
3/2/2014,7,10.1,11.7,225,2.3
4/2/2014,7,10.5,5.04,315,0.5
5/2/2014,9,10.7,3.67,315,0
6/2/2014,10,11.8,2.95,315,0
7/2/2014,6,13.1,3.89,315,0
8/2/2014,2,14,4.54,180,0
9/2/2014,3,13.6,4.86,45,0
10/2/2014,7,9.6,4.1,315,0
11/2/2014,8,10.5,2.45,315,0
12/2/2014,9,10.7,3.2,315,0
13/02/2014,7,10.7,4.43,315,0
14/02/2014,4,10.6,4.97,315,0
15/02/2014,4,11,3.56,315,0
16/02/2014,3,12.2,5.58,315,0
17/02/2014,8,11.6,7.38,45,0
18/02/2014,5,12,2.56,0,0
19/02/2014,7,11.5,10.3,225,0
20/02/2014,1,10.9,9.25,225,3.8
21/02/2014,2,8.5,11.7,270,7.7
22/02/2014,3,8.4,4.39,180,2.1
23/02/2014,8,11.1,17.32,270,2.8
24/02/2014,4,9.6,15.48,315,8.9
25/02/2014,3,8.6,7.92,315,7.3
26/02/2014,10,7.4,4.93,180,0
27/02/2014,2,7.9,4.36,-1,0.7
28/02/2014,6,10.4,4.72,315,1.4
1/3/2014,8,9.9,11.27,180,6.3
2/3/2014,7,12.1,10.01,180,3.1
3/3/2014,9,12.3,14,180,6.1
