Date,Cloud Coverage,Average Temperature,Wind Speed,Wind Direction,Rainfall
07/01/2014,89.8,16.3,7.74,220,3.5
08/01/2014,49.5,17.8,6.59,345,4.2
09/01/2014,19.5,18.4,7.2,276,0
10/01/2014,61.4,19.8,6.73,276,0
11/01/2014,78.4,19.2,14.69,231,3.4
12/01/2014,42.9,16.9,6.73,336,9.1
13/01/2014,60.3,17,5.08,260,0.4
14/01/2014,73,17.1,6.84,295,0.6
15/01/2014,16.3,16.9,11.38,35,0
16/01/2014,8.4,17.5,8.89,52,0
17/01/2014,32.7,17.9,7.49,36,0
18/01/2014,13.4,18.1,7.24,300,0
19/01/2014,79.8,18.4,4.14,335,0
20/01/2014,36.9,19.6,6.77,312,0
21/01/2014,25.1,21,6.7,312,0
22/01/2014,13,21,4.28,308,0
23/01/2014,73.7,19,12.56,208,0
24/01/2014,61.7,17.4,8.5,228,6.5
25/01/2014,75.4,18,8.57,202,24.9
26/01/2014,49.2,18.3,6.01,289,0.8
27/01/2014,13,17.7,5.65,279,0
28/01/2014,9.8,21.2,3.82,291,0
29/01/2014,22.4,20.5,4.39,289,0
01/02/2014,35.2,22,6.84,330,0
02/02/2014,11.4,21.1,5.9,328,0
03/02/2014,38,19.7,7.13,49,0
04/02/2014,24.3,19.5,8.78,47,0
05/02/2014,9.3,19.7,5.33,278,0
06/02/2014,24,19.7,6.08,283,0
07/02/2014,79.8,19.1,9,242,0
08/02/2014,78,19.1,7.85,221,20.4
09/02/2014,65.3,17.6,5.15,313,4.5
10/02/2014,13,17.6,3.71,303,0
11/02/2014,46.8,19.5,4.54,200,0
12/02/2014,67.4,20.5,9.11,227,0
15/02/2014,50.6,21.3,11.09,217,0
17/02/2014,28.2,17,3.13,332,0
18/02/2014,72.1,17.3,9.94,224,1.4
19/02/2014,39.1,16.5,4.5,282,0.2
20/02/2014,58.6,16.3,2.92,350,0
21/02/2014,23.9,16,4.82,6,0
24/02/2014,23.8,17.6,5.04,41,0
25/02/2014,47.7,16.9,5.15,340,0
26/02/2014,20.3,16.2,4.64,54,0
27/02/2014,21.1,15.9,5.62,335,0
28/02/2014,28.9,16.2,5.04,16,0
01/03/2014,17.9,15.1,4.39,333,0
02/03/2014,16.5,15.9,3.42,351,0
03/03/2014,69.4,19.9,13.9,218,0
04/03/2014,98.4,21.3,10.84,254,0.4
05/03/2014,59.3,21.8,13.21,212,0.2
06/03/2014,73,19,4.61,253,0.5
07/03/2014,19.7,17.3,4.5,300,0
08/03/2014,15,18.4,4,284,0
09/03/2014,9.5,20,2.99,347,0
10/03/2014,11.2,20.8,2.77,315,0
11/03/2014,12.4,23.7,3.53,306,0
12/03/2014,96,20.9,5.54,319,0
13/03/2014,100,20.1,2.48,344,0
14/03/2014,31.9,18.9,3.06,316,0
15/03/2014,48.2,20.2,6.98,209,0
16/03/2014,93.4,17.8,1.66,321,6.8
17/03/2014,28.8,19,3.42,296,0
