DateTime,CloudCoverage,Temperature,WindSpeed,WindDirection,Rainfall
2016-07-06 00:00,40.8,21.3,5.47,315,0
2016-07-07 00:00,20.9,20.1,6.41,315,0
2016-07-08 00:00,27.2,19.5,7.02,315,0
2016-07-09 00:00,23.2,19.1,5.94,315,0
2016-07-10 00:00,77.5,18.7,5.44,180,0
2016-07-11 00:00,63.9,17.1,4.82,225,0
2016-07-12 00:00,31.5,16.7,6.44,315,0
2016-07-13 00:00,23.2,16.4,7.99,45,0
2016-07-14 00:00,10,17.8,6.95,45,0
2016-07-15 00:00,9.2,20.9,5.51,90,0
2016-07-16 00:00,10.1,23.6,4.82,90,0
2016-07-17 00:00,10,24.5,4.68,315,0
2016-07-18 00:00,17.4,24.1,4.68,315,0
2016-07-19 00:00,13.2,21.6,8.6,225,0
2016-07-20 00:00,62.5,19.5,5.08,315,0
2016-07-21 00:00,64.6,19.9,4.28,180,0
2016-07-22 00:00,75.7,19.1,7.16,315,2
2016-07-23 00:00,10.9,19.6,7.92,315,0
2016-07-24 00:00,8.9,19.7,7.16,315,0
2016-07-25 00:00,24.4,20.1,6.52,90,0
2016-07-26 00:00,37.3,20.3,8.82,45,0
2016-07-27 00:00,18.7,20.9,9.9,225,0
2016-07-28 00:00,22.3,21.5,9.72,45,0
2016-07-29 00:00,35.6,19,6.62,315,0
2016-07-30 00:00,74.4,19,6.41,270,0
2016-07-31 00:00,48.6,19.6,7.7,315,0
2016-08-01 00:00,13.9,17.4,6.95,315,0
2016-08-02 00:00,12.6,18,6.48,315,0
2016-08-03 00:00,64.3,21,4.36,45,0
2016-08-04 00:00,75,20.2,8.1,180,2.2
2016-08-05 00:00,14.6,19,6.73,315,0
2016-08-06 00:00,9.2,20.9,5.62,315,0
2016-08-07 00:00,9.7,21.2,5.54,315,0
2016-08-08 00:00,20.6,21.2,6.23,270,0
2016-08-09 00:00,72.8,19.3,13.97,45,0
2016-08-10 00:00,34.1,18.9,15.48,45,0
2016-08-11 00:00,8.7,19.7,9.14,45,0
2016-08-12 00:00,15.1,21.3,4.36,90,0
2016-08-13 00:00,20.2,17.8,5,315,0
2016-08-14 00:00,50.2,20.1,4.07,315,0
2016-08-15 00:00,32.7,19.6,6.3,45,0
2016-08-16 00:00,23.3,20.3,7.09,180,0
2016-08-17 00:00,73.5,19,8.39,180,0
2016-08-18 00:00,11.9,19,6.84,315,0
2016-08-19 00:00,47.2,19.7,7.88,315,6.4
2016-08-20 00:00,24.4,16.9,5.4,180,0
2016-08-21 00:00,9.1,17.5,5.11,315,0
2016-08-22 00:00,9.3,22.4,4.68,225,0
2016-08-23 00:00,44.1,19.1,5.22,315,0
2016-08-24 00:00,67.2,19.9,4.93,315,2.1
2016-08-25 00:00,100,19.2,6.12,270,6.5
2016-08-26 00:00,43.4,21.1,6.19,225,0
2016-08-27 00:00,35.3,19.7,4.57,135,0
2016-08-28 00:00,36.8,18.4,5.72,315,0
2016-08-29 00:00,17.8,18.3,7.96,45,0
2016-08-30 00:00,12.5,18.6,5.15,315,0
2016-08-31 00:00,18.9,18.5,6.08,225,0
2016-09-01 00:00,24.2,19.7,5.08,315,0
2016-09-02 00:00,38.6,19.5,5.18,315,0
2016-09-03 00:00,25.3,20.4,4.68,225,0
2016-09-04 00:00,35.4,20.4,5.62,135,0
2016-09-05 00:00,35.5,18.5,5.58,315,0
2016-09-06 00:00,22.6,21.9,3.89,225,0
