Date,CO,NO,NO2,NOX,O3,PM10,PM25,SO2,
6/7/2016,2,6.25,18.25,22.25,54.25,21.25,13.25,4.25,9.5
7/7/2016,4.8,4.25,13.25,13.25,59.25,17.25,10.25,4.25,7.5
8/7/2016,1,4.25,11.25,11.25,62.25,15.25,11.25,4.25,7.5
9/7/2016,0.3,5.25,13.25,14.25,60.25,15.25,10.25,4.25,8.5
10/7/2016,4.4,5.25,13.25,15.25,56.25,15.25,14.25,4.25,8.5
11/7/2016,5,12.25,21.25,32.25,47.25,15.25,11.25,4.25,15.5
12/7/2016,4.7,21.25,34.25,61.25,38.25,15.25,11.25,5.25,24.5
13/7/2016,3.4,12.25,27.25,41.25,43.25,15.25,14.25,5.25,15.5
14/7/2016,2,21.25,30.25,57.25,37.25,13.25,12.25,5.25,24.5
15/7/2016,0.2,17.25,29.25,50.25,39.25,12.25,12.25,5.25,20.5
16/7/2016,1.9,17.25,27.25,49.25,39.25,15.25,14.25,5.25,20.5
17/7/2016,3.7,20.25,30.25,56.25,42.25,15.25,17.25,5.25,23.5
18/7/2016,0.9,11.25,24.25,36.25,48.25,11.25,18.25,4.25,14.5
19/7/2016,0.1,17.25,27.25,48.25,47.25,8.25,14.25,4.25,20.5
20/7/2016,2.9,10.25,19.25,30.25,56.25,8.25,11.25,5.25,13.5
21/7/2016,2.7,12.25,17.25,30.25,55.25,13.25,8.25,5.25,15.5
22/7/2016,3.7,13.25,18.25,34.25,50.25,9.25,11.25,5.25,16.5
23/7/2016,1.1,12.25,19.25,33.25,55.25,7.25,11.25,4.25,15.5
24/7/2016,4.3,13.25,26.25,42.25,49.25,10.25,9.25,6.25,16.5
25/7/2016,2.7,14.25,33.25,50.25,46.25,20.25,9.25,5.25,17.5
26/7/2016,1.9,18.25,33.25,55.25,40.25,16.25,12.25,5.25,21.5
27/7/2016,4.2,17.25,33.25,55.25,35.25,14.25,14.25,5.25,20.5
28/7/2016,2,8.25,23.25,29.25,38.25,14.25,16.25,5.25,11.5
29/7/2016,0.2,8.25,23.25,30.25,41.25,16.25,16.25,5.25,11.5
30/7/2016,4.3,7.25,19.25,24.25,43.25,16.25,12.25,4.25,10.5
31/7/2016,4.2,5.25,14.25,17.25,47.25,14.25,8.25,5.25,8.5
1/8/2016,2.1,6.25,18.25,22.25,40.25,13.25,14.25,6.25,9.5
2/8/2016,0.3,5.25,32.25,33.25,21.25,15.25,12.25,7.25,8.5
3/8/2016,2.9,4.25,34.25,35.25,18.25,15.25,14.25,9.25,7.5
4/8/2016,2.1,7.25,29.25,34.25,21.25,10.25,14.25,7.25,10.5
5/8/2016,2.9,8.25,29.25,36.25,18.25,9.25,12.25,14.25,11.5
6/8/2016,0.6,28.25,42.25,79.25,8.25,12.25,13.25,16.25,31.5
7/8/2016,3.3,19.25,32.25,56.25,20.25,11.25,12.25,14.25,22.5
8/8/2016,4.6,11.25,16.25,28.25,34.25,10.25,12.25,6.25,14.5
9/8/2016,1.8,12.25,16.25,30.25,36.25,8.25,9.25,5.25,15.5
10/8/2016,2.6,12.25,19.25,32.25,38.25,7.25,9.25,5.25,15.5
11/8/2016,1.5,11.25,15.25,27.25,39.25,8.25,13.25,5.25,14.5
12/8/2016,3.9,11.25,15.25,26.25,40.25,13.25,10.25,5.25,14.5
13/8/2016,2.9,10.25,14.25,24.25,37.25,12.25,9.25,5.25,13.5
14/8/2016,4.8,10.25,15.25,25.25,31.25,10.25,11.25,5.25,13.5
15/8/2016,2.7,10.25,15.25,27.25,32.25,8.25,8.25,5.25,13.5
16/8/2016,1.5,8.25,12.25,20.25,29.25,7.25,8.25,5.25,11.5
17/8/2016,3.1,8.25,11.25,18.25,29.25,8.25,10.25,5.25,11.5
18/8/2016,4.9,11.25,14.25,26.25,28.25,8.25,13.25,5.25,14.5
19/8/2016,0.2,15.25,16.25,33.25,25.25,8.25,11.25,5.25,18.5
20/8/2016,1.8,14.25,21.25,37.25,25.25,10.25,10.25,5.25,17.5
21/8/2016,2.9,5.25,16.25,18.25,26.25,11.25,11.25,6.25,8.5
22/8/2016,1.7,4.25,24.25,25.25,16.25,11.25,11.25,8.25,7.5
23/8/2016,4.4,4.25,15.25,14.25,27.25,7.25,11.25,5.25,7.5
24/8/2016,4.6,4.25,13.25,11.25,26.25,7.25,11.25,5.25,7.5
25/8/2016,2.5,13.25,29.25,43.25,6.25,8.25,8.25,12.25,16.5
26/8/2016,4.9,11.25,31.25,44.25,5.25,7.25,10.25,13.25,14.5
27/8/2016,2.1,6.25,26.25,30.25,6.25,7.25,11.25,7.25,9.5
28/8/2016,0.3,23.25,29.25,59.25,4.25,7.25,8.25,7.25,26.5
29/8/2016,4,42.25,35.25,94.25,4.25,7.25,9.25,9.25,45.5
30/8/2016,2.9,47.25,34.25,102.25,6.25,7.25,17.25,8.25,50.5
31/8/2016,5,39.25,30.25,86.25,10.25,12.25,13.25,7.25,42.5
1/9/2016,3.7,28.25,28.25,66.25,15.25,11.25,14.25,7.25,31.5
2/9/2016,2.6,35.25,31.25,80.25,18.25,8.25,14.25,9.25,38.5
3/9/2016,4.9,24.25,28.25,59.25,33.25,13.25,15.25,7.25,27.5
4/9/2016,4.4,24.25,34.25,66.25,37.25,13.25,22.25,7.25,27.5
