Date,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
6/7/2016,22.13,25,37,41,73,40,32,23
7/7/2016,22.11,23,32,32,78,36,29,23
8/7/2016,22.1,23,30,30,81,34,30,23
9/7/2016,22.1,24,32,33,79,34,29,23
10/7/2016,22.11,24,32,34,75,34,33,23
11/7/2016,22.1,31,40,51,66,34,30,23
12/7/2016,22.13,40,53,80,57,34,30,24
13/7/2016,22.12,31,46,60,62,34,33,24
14/7/2016,22.15,40,49,76,56,32,31,24
15/7/2016,22.16,36,48,69,58,31,31,24
16/7/2016,22.16,36,46,68,58,34,33,24
17/7/2016,22.18,39,49,75,61,34,36,24
18/7/2016,22.17,30,43,55,67,30,37,23
19/7/2016,22.2,36,46,67,66,27,33,23
20/7/2016,22.14,29,38,49,75,27,30,24
21/7/2016,22.14,31,36,49,74,32,27,24
22/7/2016,22.15,32,37,53,69,28,30,24
23/7/2016,22.14,31,38,52,74,26,30,23
24/7/2016,22.17,32,45,61,68,29,28,25
25/7/2016,22.19,33,52,69,65,39,28,24
26/7/2016,22.2,37,52,74,59,35,31,24
27/7/2016,22.26,36,52,74,54,33,33,24
28/7/2016,22.18,27,42,48,57,33,35,24
29/7/2016,22.17,27,42,49,60,35,35,24
30/7/2016,22.15,26,38,43,62,35,31,23
31/7/2016,22.12,24,33,36,66,33,27,24
1/8/2016,22.13,25,37,41,59,32,33,25
2/8/2016,22.13,24,51,52,40,34,31,26
3/8/2016,22.11,23,53,54,37,34,33,28
4/8/2016,22.14,26,48,53,40,29,33,26
5/8/2016,22.12,27,48,55,37,28,31,33
6/8/2016,22.15,47,61,98,27,31,32,35
7/8/2016,22.14,38,51,75,39,30,31,33
8/8/2016,22.14,30,35,47,53,29,31,25
9/8/2016,22.14,31,35,49,55,27,28,24
10/8/2016,22.16,31,38,51,57,26,28,24
11/8/2016,22.16,30,34,46,58,27,32,24
12/8/2016,22.17,30,34,45,59,32,29,24
13/8/2016,22.14,29,33,43,56,31,28,24
14/8/2016,22.14,29,34,44,50,29,30,24
15/8/2016,22.13,29,34,46,51,27,27,24
16/8/2016,22.11,27,31,39,48,26,27,24
17/8/2016,22.13,27,30,37,48,27,29,24
18/8/2016,22.16,30,33,45,47,27,32,24
19/8/2016,22.18,34,35,52,44,27,30,24
20/8/2016,22.19,33,40,56,44,29,29,24
