Date,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
6/7/2016,50.13,33,45,49,81,48,40,11
7/7/2016,50.11,31,40,40,86,44,37,11
8/7/2016,50.1,31,38,38,89,42,38,11
9/7/2016,50.1,32,40,41,87,42,37,11
10/7/2016,50.11,32,40,42,83,42,41,11
11/7/2016,50.1,39,48,59,74,42,38,11
12/7/2016,50.13,48,61,88,65,42,38,12
13/7/2016,50.12,39,54,68,70,42,41,12
14/7/2016,50.15,48,57,84,64,40,39,12
15/7/2016,50.16,44,56,77,66,39,39,12
16/7/2016,50.16,44,54,76,66,42,41,12
17/7/2016,50.18,47,57,83,69,42,44,12
18/7/2016,50.17,38,51,63,75,38,45,11
19/7/2016,50.2,44,54,75,74,35,41,11
20/7/2016,50.14,37,46,57,83,35,38,12
21/7/2016,50.14,39,44,57,82,40,35,12
22/7/2016,50.15,40,45,61,77,36,38,12
23/7/2016,50.14,39,46,60,82,34,38,11
24/7/2016,50.17,40,53,69,76,37,36,13
25/7/2016,50.19,41,60,77,73,47,36,12
26/7/2016,50.2,45,60,82,67,43,39,12
27/7/2016,50.26,44,60,82,62,41,41,12
28/7/2016,50.18,35,50,56,65,41,43,12
29/7/2016,50.17,35,50,57,68,43,43,12
30/7/2016,50.15,34,46,51,70,43,39,11
31/7/2016,50.12,32,41,44,74,41,35,12
1/8/2016,50.13,33,45,49,67,40,41,13
2/8/2016,50.13,32,59,60,48,42,39,14
3/8/2016,50.11,31,61,62,45,42,41,16
4/8/2016,50.14,34,56,61,48,37,41,14
5/8/2016,50.12,35,56,63,45,36,39,21
6/8/2016,50.15,55,69,106,35,39,40,23
7/8/2016,50.14,46,59,83,47,38,39,21
8/8/2016,50.14,38,43,55,61,37,39,13
9/8/2016,50.14,39,43,57,63,35,36,12
10/8/2016,50.16,39,46,59,65,34,36,12
11/8/2016,50.16,38,42,54,66,35,40,12
12/8/2016,50.17,38,42,53,67,40,37,12
13/8/2016,50.14,37,41,51,64,39,36,12
14/8/2016,50.14,37,42,52,58,37,38,12
15/8/2016,50.13,37,42,54,59,35,35,12
16/8/2016,50.11,35,39,47,56,34,35,12
17/8/2016,50.13,35,38,45,56,35,37,12
18/8/2016,50.16,38,41,53,55,35,40,12
19/8/2016,50.18,42,43,60,52,35,38,12
20/8/2016,50.19,41,48,64,52,37,37,12
21/8/2016,50.12,32,43,45,53,38,38,13
22/8/2016,50.11,31,51,52,43,38,38,15
23/8/2016,50.12,31,42,41,54,34,38,12
24/8/2016,50.11,31,40,38,53,34,38,12
25/8/2016,50.1,40,56,70,33,35,35,19
26/8/2016,50.1,38,58,71,32,34,37,20
27/8/2016,50.11,33,53,57,33,34,38,14
28/8/2016,50.14,50,56,86,31,34,35,14
29/8/2016,50.22,69,62,121,31,34,36,16
30/8/2016,50.23,74,61,129,33,34,44,15
31/8/2016,50.22,66,57,113,37,39,40,14
1/9/2016,50.19,55,55,93,42,38,41,14
2/9/2016,50.25,62,58,107,45,35,41,16
3/9/2016,50.25,51,55,86,60,40,42,14
4/9/2016,50.3,51,61,93,64,40,49,14
5/9/2016,50.29,49,56,85,68,40,47,15
6/9/2016,50.26,44,56,78,74,51,55,14
7/9/2016,50.24,46,56,80,75,40,49,13
8/9/2016,50.2,44,58,80,73,43,46,13
