Date,Cloud Coverage,Average Temperature,Wind Speed,Wind Direction,Rainfall
06/07/2016,40.8,21.3,5.47,315,0
07/07/2016,20.9,20.1,6.41,315,0
08/07/2016,27.2,19.5,7.02,315,0
09/07/2016,23.2,19.1,5.94,315,0
10/07/2016,77.5,18.7,5.44,180,0
11/07/2016,63.9,17.1,4.82,225,0
12/07/2016,31.5,16.7,6.44,315,0
13/07/2016,23.2,16.4,7.99,45,0
14/07/2016,10,17.8,6.95,45,0
15/07/2016,9.2,20.9,5.51,90,0
16/07/2016,10.1,23.6,4.82,90,0
17/07/2016,10,24.5,4.68,315,0
18/07/2016,17.4,24.1,4.68,315,0
19/07/2016,13.2,21.6,8.6,225,0
20/07/2016,62.5,19.5,5.08,315,0
21/07/2016,64.6,19.9,4.28,180,0
22/07/2016,75.7,19.1,7.16,315,2
23/07/2016,10.9,19.6,7.92,315,0
24/07/2016,8.9,19.7,7.16,315,0
25/07/2016,24.4,20.1,6.52,90,0
26/07/2016,37.3,20.3,8.82,45,0
27/07/2016,18.7,20.9,9.9,225,0
28/07/2016,22.3,21.5,9.72,45,0
29/07/2016,35.6,19,6.62,315,0
30/07/2016,74.4,19,6.41,270,0
31/07/2016,48.6,19.6,7.7,315,0
01/08/2016,13.9,17.4,6.95,315,0
02/08/2016,12.6,18,6.48,315,0
03/08/2016,64.3,21,4.36,45,0
04/08/2016,75,20.2,8.1,180,2.2
05/08/2016,14.6,19,6.73,315,0
06/08/2016,9.2,20.9,5.62,315,0
07/08/2016,9.7,21.2,5.54,315,0
08/08/2016,20.6,21.2,6.23,270,0
09/08/2016,72.8,19.3,13.97,45,0
10/08/2016,34.1,18.9,15.48,45,0
11/08/2016,8.7,19.7,9.14,45,0
12/08/2016,15.1,21.3,4.36,90,0
13/08/2016,20.2,17.8,5,315,0
14/08/2016,50.2,20.1,4.07,315,0
15/08/2016,32.7,19.6,6.3,45,0
16/08/2016,23.3,20.3,7.09,180,0
17/08/2016,73.5,19,8.39,180,0
18/08/2016,11.9,19,6.84,315,0
19/08/2016,47.2,19.7,7.88,315,6.4
20/08/2016,24.4,16.9,5.4,180,0
21/08/2016,9.1,17.5,5.11,315,0
22/08/2016,9.3,22.4,4.68,225,0
23/08/2016,44.1,19.1,5.22,315,0
24/08/2016,67.2,19.9,4.93,315,2.1
25/08/2016,100,19.2,6.12,270,6.5
26/08/2016,43.4,21.1,6.19,225,0
27/08/2016,35.3,19.7,4.57,135,0
28/08/2016,36.8,18.4,5.72,315,0
29/08/2016,17.8,18.3,7.96,45,0
30/08/2016,12.5,18.6,5.15,315,0
31/08/2016,18.9,18.5,6.08,225,0
01/09/2016,24.2,19.7,5.08,315,0
02/09/2016,38.6,19.5,5.18,315,0
03/09/2016,25.3,20.4,4.68,225,0
04/09/2016,35.4,20.4,5.62,135,0
05/09/2016,35.5,18.5,5.58,315,0
06/09/2016,22.6,21.9,3.89,225,0
07/09/2016,61.9,19.7,6.52,315,1.2
08/09/2016,16.1,17.2,4.9,270,0
09/09/2016,28.1,17,4.82,180,0
10/09/2016,87.8,19.3,5.98,180,3.4
11/09/2016,25.6,20.3,4.93,45,0.3
12/09/2016,33.1,20.4,12.92,225,3
13/09/2016,72.6,16.1,8.14,270,54.8
14/09/2016,96.8,13.7,9.4,225,19.1
15/09/2016,93,15.7,8.86,270,3.4
16/09/2016,66,16.1,4.28,315,0.3
17/09/2016,31.8,14.1,4.72,180,0
