Date,Cloud Coverage,Average Temperature,Wind Speed,Wind Direction,Rainfall
07/06/2016,89.8,26.3,37.74,220,23.5
08/06/2016,49.5,27.8,36.59,345,24.2
09/06/2016,19.5,26.3,37.2,276,20
10/06/2016,61.4,29.8,36.73,276,20
11/06/2016,78.4,29.2,44.69,231,23.4
12/06/2016,42.9,26.9,36.73,336,29.1
13/06/2016,60.3,27,35.08,260,20.4
14/06/2016,73,27.1,36.84,295,20.6
15/06/2016,16.3,26.9,41.38,35,20
16/06/2016,8.4,27.5,38.89,52,20
17/06/2016,32.7,27.9,37.49,36,20
18/06/2016,13.4,28.1,37.24,300,20
19/06/2016,79.8,28.4,34.14,335,20
20/06/2016,36.9,29.6,36.77,312,20
21/06/2016,25.1,31,36.7,312,20
22/06/2016,13,31,34.28,308,20
23/06/2016,73.7,29,42.56,208,20
24/06/2016,61.7,27.4,38.5,228,26.5
25/06/2016,75.4,28,38.57,202,44.9
26/06/2016,49.2,28.3,36.01,289,20.8
27/06/2016,13,27.7,35.65,279,20
28/06/2016,9.8,31.2,33.82,291,20
29/06/2016,22.4,30.5,34.39,289,20
30/06/2016,35.2,32,36.84,330,20
01/07/2016,11.4,31.1,35.9,328,20
02/07/2016,38,29.7,37.13,49,20
03/07/2016,24.3,29.5,38.78,47,20
04/07/2016,9.3,29.7,35.33,278,20
05/07/2016,24,29.7,36.08,283,20
06/07/2016,79.8,29.1,39,242,20
07/07/2016,78,29.1,37.85,221,40.4
08/07/2016,65.3,27.6,35.15,313,24.5
09/07/2016,13,27.6,33.71,303,20
10/07/2016,46.8,29.5,34.54,200,20
11/07/2016,67.4,30.5,39.11,227,20
12/07/2016,50.6,31.3,41.09,217,20
13/07/2016,28.2,27,33.13,332,20
14/07/2016,72.1,27.3,39.94,224,21.4
15/07/2016,39.1,26.5,34.5,282,20.2
16/07/2016,58.6,26.3,32.92,350,20
17/07/2016,23.9,26,34.82,6,20
18/07/2016,23.8,27.6,35.04,41,20
19/07/2016,47.7,26.9,35.15,340,20
20/07/2016,20.3,26.2,34.64,54,20
21/07/2016,21.1,25.9,35.62,335,20
22/07/2016,28.9,26.2,35.04,16,20
23/07/2016,17.9,25.1,34.39,333,20
24/07/2016,16.5,25.9,33.42,351,20
25/07/2016,69.4,29.9,43.9,218,20
26/07/2016,98.4,31.3,40.84,254,20.4
27/07/2016,59.3,31.8,43.21,212,20.2
28/07/2016,73,29,34.61,253,20.5
29/07/2016,19.7,27.3,34.5,300,20
30/07/2016,15,28.4,34,284,20
31/07/2016,9.5,30,32.99,347,20
01/08/2016,11.2,30.8,32.77,315,20
02/08/2016,12.4,33.7,33.53,306,20
03/08/2016,96,30.9,35.54,319,20
04/08/2016,100,30.1,32.48,344,20
05/08/2016,31.9,28.9,33.06,316,20
06/08/2016,48.2,30.2,36.98,209,20
07/08/2016,93.4,27.8,31.66,321,26.8
08/08/2016,28.8,29,33.42,296,20
09/08/2016,24.8,30.8,32.88,290,20
10/08/2016,33.1,31.5,33.49,239,20
11/08/2016,35.5,31.9,34.39,152,20
12/08/2016,74.9,31,33.28,170,20
13/08/2016,71.8,28.8,34.03,206,27.2
14/08/2016,58.8,30.5,38.93,154,29.5
15/08/2016,71.2,30.1,45.41,220,23.2
16/08/2016,76.4,29,46.99,160,26.1
17/08/2016,91.3,29.4,41.84,173,21.2
18/08/2016,89.2,29.4,36.66,194,20.7
19/08/2016,37.6,29,34.14,109,20
20/08/2016,81.2,28.1,35.33,46,20
21/08/2016,92.8,27.6,34.1,75,20.8
22/08/2016,30.9,24.5,34.32,34,20
23/08/2016,13.3,24.6,32.81,85,20
24/08/2016,10.1,26.4,33.31,28,20
25/08/2016,40.9,28,34.54,319,20.4
26/08/2016,31.8,26.2,34.72,298,20
27/08/2016,20.9,26.3,34.54,301,20.2
28/08/2016,10.4,27.9,33.96,91,20
29/08/2016,20.4,27.3,33.96,319,20
30/08/2016,97.1,25.4,34.1,340,23.2
31/08/2016,17.3,23.7,33.78,321,20
01/09/2016,97.7,26.1,42.89,194,22.8
02/09/2016,90.9,26.6,41.05,226,21.5
03/09/2016,100,26.1,39.11,283,24.1
04/09/2016,88.3,24.5,35.44,219,27.7
05/09/2016,54.2,23.8,34.46,228,20.2
06/09/2016,79.8,23.7,32.77,48,20
07/09/2016,84.8,24.5,33.74,329,20.7
08/09/2016,97.9,23.7,37.49,136,20.9
09/09/2016,28.2,24.6,41.41,192,20.4
10/09/2016,85.6,28.2,41.59,229,26.4
11/09/2016,99.1,26.9,40.22,191,37.7
12/09/2016,44.6,29.3,47.78,194,21.4
13/09/2016,18,30.2,45.98,228,20
14/09/2016,63.6,28,35.11,191,20
15/09/2016,36.4,27.9,31.69,315,20
16/09/2016,54.5,26.4,32.84,317,20
17/09/2016,10.9,26.8,31.3,296,20
18/09/2016,36.5,27.4,31.01,289,20
19/09/2016,86.1,27.2,31.55,331,20
