"","DateTime","pm2.5","DEWP","TEMP","PRES","cbwd","Iws","Is","Ir"
"1","01/01/2010 00:00",138,-21,-11,1021,"NW",1.79,0,0
"2","01/01/2010 01:00",125,-21,-12,1020,"NW",4.92,0,0
"3","01/01/2010 02:00",249,-21,-11,1019,"NW",6.71,0,0
"4","01/01/2010 03:00",210,-21,-14,1019,"NW",9.84,0,0
"5","01/01/2010 04:00",98,-20,-12,1018,"NW",12.97,0,0
"6","01/01/2010 05:00",117,-19,-10,1017,"NW",16.1,0,0
"7","01/01/2010 06:00",159,-19,-9,1017,"NW",19.23,0,0
"8","01/01/2010 07:00",95,-19,-9,1017,"NW",21.02,0,0
"9","01/01/2010 08:00",45,-19,-9,1017,"NW",24.15,0,0
"10","01/01/2010 09:00",119,-20,-8,1017,"NW",27.28,0,0
"11","01/01/2010 10:00",87,-19,-7,1017,"NW",31.3,0,0
"12","01/01/2010 11:00",38,-18,-5,1017,"NW",34.43,0,0
"13","01/01/2010 12:00",43,-19,-5,1015,"NW",37.56,0,0
"14","01/01/2010 13:00",164,-18,-3,1015,"NW",40.69,0,0
"15","01/01/2010 14:00",105,-18,-2,1014,"NW",43.82,0,0
"16","01/01/2010 15:00",125,-18,-1,1014,"cv",0.89,0,0
"17","01/01/2010 16:00",99,-19,-2,1015,"NW",1.79,0,0
"18","01/01/2010 17:00",55,-18,-3,1015,"NW",2.68,0,0
"19","01/01/2010 18:00",126,-18,-5,1016,"NE",1.79,0,0
"20","01/01/2010 19:00",148,-17,-4,1017,"NW",1.79,0,0
"21","01/01/2010 20:00",152,-17,-5,1017,"cv",0.89,0,0
"22","01/01/2010 21:00",35,-17,-5,1018,"NW",1.79,0,0
"23","01/01/2010 22:00",109,-17,-5,1018,"NW",2.68,0,0
"24","01/01/2010 23:00",113,-17,-5,1020,"cv",0.89,0,0
"25","01/02/2010 00:00",129,-16,-4,1020,"SE",1.79,0,0
"26","01/02/2010 01:00",148,-15,-4,1020,"SE",2.68,0,0
"27","01/02/2010 02:00",159,-11,-5,1021,"SE",3.57,0,0
"28","01/02/2010 03:00",181,-7,-5,1022,"SE",5.36,1,0
"29","01/02/2010 04:00",138,-7,-5,1022,"SE",6.25,2,0
"30","01/02/2010 05:00",109,-7,-6,1022,"SE",7.14,3,0
"31","01/02/2010 06:00",105,-7,-6,1023,"SE",8.93,4,0
"32","01/02/2010 07:00",124,-7,-5,1024,"SE",10.72,0,0
"33","01/02/2010 08:00",120,-8,-6,1024,"SE",12.51,0,0
"34","01/02/2010 09:00",132,-7,-5,1025,"SE",14.3,0,0
"35","01/02/2010 10:00",140,-7,-5,1026,"SE",17.43,1,0
"36","01/02/2010 11:00",152,-8,-5,1026,"SE",20.56,0,0
"37","01/02/2010 12:00",148,-8,-5,1026,"SE",23.69,0,0
"38","01/02/2010 13:00",164,-8,-5,1025,"SE",27.71,0,0
"39","01/02/2010 14:00",158,-9,-5,1025,"SE",31.73,0,0
"40","01/02/2010 15:00",154,-9,-5,1025,"SE",35.75,0,0
"41","01/02/2010 16:00",159,-9,-5,1026,"SE",37.54,0,0
"42","01/02/2010 17:00",164,-8,-5,1027,"SE",39.33,0,0
"43","01/02/2010 18:00",170,-8,-5,1027,"SE",42.46,0,0
"44","01/02/2010 19:00",149,-8,-5,1028,"SE",44.25,0,0
"45","01/02/2010 20:00",154,-7,-5,1028,"SE",46.04,0,0
"46","01/02/2010 21:00",164,-7,-5,1027,"SE",49.17,1,0
"47","01/02/2010 22:00",156,-8,-6,1028,"SE",52.3,2,0
"48","01/02/2010 23:00",126,-8,-6,1027,"SE",55.43,3,0
"49","01/03/2010 00:00",90,-7,-6,1027,"SE",58.56,4,0
"50","01/03/2010 01:00",63,-8,-6,1026,"SE",61.69,5,0
"51","01/03/2010 02:00",65,-8,-7,1026,"SE",65.71,6,0
"52","01/03/2010 03:00",55,-8,-7,1025,"SE",68.84,7,0
"53","01/03/2010 04:00",65,-8,-7,1024,"SE",72.86,8,0
"54","01/03/2010 05:00",83,-9,-8,1024,"SE",76.88,9,0
